NO_PRODUK,NO_PELANGGAN,NO_WAKTU,JUMLAH_PENJUALAN
50485,525480,22,1
52055,525480,22,3
52085,525480,22,3
50740,,22,6
50750,,22,6
51125,,22,1
50550,,22,1
50600,,22,1
50730,,22,3
50740,,22,3
50750,,22,3
50760,,22,3
50600,,22,2
50730,,22,6
50760,,22,3
50600,,22,2
50730,,22,3
50740,,22,3
50750,,22,3
50760,,22,3
50810,,22,3
50730,520660,22,12
50740,520660,22,12
50750,520660,22,12
50760,520660,22,12
50810,520660,22,3
50600,501640,22,3
,501640,22,5
50630,501640,22,3
50670,501640,22,3
50680,501640,22,3
50690,501640,22,5
51105,514910,22,2
51115,514910,22,3
51140,514910,22,8
50730,,22,3
50740,,22,3
50750,,22,3
50760,,22,3
51105,,22,1
51115,,22,1
50550,527890,22,3
50600,527890,22,3
50610,527890,22,6
50630,527890,22,1
50670,527890,22,4
50690,527890,22,4
50700,527890,22,4
50730,527890,22,1
50740,527890,22,1
50750,527890,22,12
50760,527890,22,1
50770,527890,22,2
52065,527890,22,12
51140,501640,22,1
50600,514910,22,1
,514910,22,2
52005,514910,22,1
50850,,22,2
50860,,22,2
50870,,22,2
50880,,22,2
51395,,22,2
50570,,22,1
50600,,22,6
,,22,1
50630,,22,3
50660,,22,3
50365,529990,66,5
50375,529990,66,2
50385,529990,66,2
50830,529990,66,2
50860,529990,66,2
50880,529990,66,2
51395,529990,66,2
51415,529990,66,5
51425,529990,66,5
51435,529990,66,5
51725,529990,66,1
51745,529990,66,4
51755,529990,66,2
51765,529990,66,2
52250,529990,66,2
51115,531300,22,3
51140,531300,22,2
51695,531300,22,1
51725,531300,22,1
50600,531300,22,1
,531300,22,6
50610,531300,22,1
50630,531300,22,3
50700,531300,22,1
50720,531300,22,1
50730,531300,22,24
50740,531300,22,24
50750,531300,22,24
50760,531300,22,24
50770,531300,22,3
52065,531300,22,12
52075,531300,22,12
50485,,74,1
51005,,74,6
51015,,74,6
51035,,74,6
51040,,74,6
51045,,74,6
51055,,74,6
51675,,74,1
51685,,74,1
50600,506930,74,1
50550,518300,74,2
50600,518300,74,2
50145,,137,1
50155,,137,1
50165,,137,1
50550,509580,137,1
50145,514180,137,2
50155,514180,137,2
50165,514180,137,2
50475,514180,137,2
50485,514180,137,1
51620,514180,137,1
51660,514180,137,2
51675,514180,137,1
51660,533490,137,3
51675,533490,137,3
50475,534660,137,3
50485,534660,137,3
50140,,137,1
50155,,137,2
50455,,137,1
51000,,137,1
51030,,137,1
51965,,137,12
51010,505580,74,38
51015,505580,74,51
51020,505580,74,51
51025,505580,74,38
51040,505580,74,51
51045,505580,74,69
51050,505580,74,32
51055,505580,74,51
51530,505580,74,39
51550,505580,74,36
51005,505580,74,81
51540,505580,74,40
51005,504690,74,85
51010,504690,74,12
51015,504690,74,18
51020,504690,74,50
51025,504690,74,53
51040,504690,74,70
51045,504690,74,84
51055,504690,74,78
51530,504690,74,45
51540,504690,74,54
51550,504690,74,42
51005,515340,74,60
51010,515340,74,28
51015,515340,74,40
51020,515340,74,31
51025,515340,74,30
51040,515340,74,33
51045,515340,74,60
51055,515340,74,60
51125,515340,74,1
51530,515340,74,38
51540,515340,74,42
51550,515340,74,38
52360,515340,74,12
51005,509260,74,87
51010,509260,74,32
51015,509260,74,49
51020,509260,74,34
51025,509260,74,50
51040,509260,74,2
51045,509260,74,65
51055,509260,74,58
51125,509260,74,1
51530,509260,74,12
51540,509260,74,18
51550,509260,74,12
50155,,66,1
50165,,66,1
51635,,66,2
50730,,66,12
50740,,66,12
51660,501710,66,3
51675,501710,66,3
50155,,66,1
50475,,66,3
50485,,66,3
51635,,66,1
50140,539270,66,1
50155,539270,66,2
51390,539270,66,2
50155,543290,66,1
50455,543290,66,1
50475,544720,66,1
50485,544720,66,1
51660,544720,66,1
51675,544720,66,1
50550,,66,3
50600,,66,3
51105,,66,1
51115,,66,2
51130,,66,1
51140,,66,2
52055,,66,3
52065,,66,3
50730,518550,66,4
50740,518550,66,5
50750,518550,66,3
51115,518550,66,1
50600,518760,66,3
50730,518760,66,6
52075,518760,66,6
52085,518760,66,6
50730,535040,66,3
50740,535040,66,3
50475,516280,66,1
50485,516280,66,1
50730,516280,66,6
50740,516280,66,6
51415,516280,66,1
51435,516280,66,1
51660,516280,66,1
51675,516280,66,1
51745,516280,66,1
51765,516280,66,1
50730,,66,6
50740,,66,6
50750,,66,6
50760,,66,6
50130,,66,12
50135,,66,12
50140,,66,1
50155,,66,1
50165,,66,1
50355,,66,1
50485,,66,1
50525,,66,12
51005,,66,12
51010,,66,12
51015,,66,12
51025,,66,12
51045,,66,12
51055,,66,12
51660,,66,1
51735,,66,3
50435,507170,66,2
50455,507170,66,2
50730,507170,66,3
50740,507170,66,3
50750,507170,66,3
51965,507170,66,12
50730,523030,66,12
50740,523030,66,12
51735,523030,66,6
50570,,88,3
50620,,88,3
50630,,88,3
50660,,88,2
50680,,88,2
50690,,88,2
50700,,88,2
50730,,66,6
50740,,66,6
51745,,66,4
50445,501670,66,5
50730,501670,66,12
50740,501670,66,12
51625,501670,66,1
50145,,72,2
50165,,72,2
51005,,66,1
51045,,66,1
51055,,66,1
51530,,66,1
51540,,66,1
51550,,66,10
51020,,66,9
50730,,66,6
50740,,66,6
50750,,66,6
50760,,66,3
50740,,66,6
50455,,66,1
50475,,66,1
50730,,66,3
50750,,66,3
51675,,66,1
51965,,66,12
50730,533890,66,4
50740,533890,66,4
50750,533890,66,4
50730,523450,66,12
50740,523450,66,12
50750,523450,66,6
50760,523450,66,3
50550,521390,66,2
50570,521390,66,4
50760,521390,66,3
52540,521390,66,12
50435,,66,1
50455,,66,1
50730,,66,2
50740,,66,2
50750,,66,2
50760,,66,2
51045,,66,12
50730,543550,66,6
50090,,106,25
50475,504420,66,1
51635,504420,66,1
51675,504420,66,1
51735,504420,66,6
51635,,66,1
51735,,66,6
50730,,67,12
50740,,67,12
50750,,67,12
51635,,66,5
50730,,66,3
50740,,66,3
50750,,66,6
50760,,66,3
50385,,87,1
51415,,87,2
51435,,87,2
51745,,87,1
51765,,87,1
50730,525000,67,6
50740,525000,67,12
50760,525000,67,6
51125,,113,8
51005,541340,66,24
51025,541340,66,24
51040,541340,66,24
51045,541340,66,24
51055,541340,66,24
51020,541340,66,33
51005,,66,12
51020,,66,3
51025,,66,12
51040,,66,12
51045,,66,12
51055,,66,24
50730,,88,12
50740,,88,12
51635,547790,66,15
50550,510860,66,3
50750,510860,66,12
50760,510860,66,12
52065,510860,66,6
50730,,66,6
50740,,66,6
51435,,66,1
51755,,66,1
50850,,66,2
50860,,66,2
50870,,66,2
50880,,66,2
51395,,66,1
51660,,66,1
51675,,66,1
50550,,66,6
50600,,66,3
50630,,66,3
50730,,66,6
50740,,66,6
50750,,66,6
50760,,66,6
50550,,66,6
50570,,66,3
50620,,66,5
50630,,66,6
50660,,66,3
50670,,66,2
50730,,66,24
50740,,66,24
50750,,66,24
50760,,66,12
52065,,66,24
52540,,66,12
50550,505880,66,1
50600,505880,66,1
50730,505880,66,3
50740,505880,66,3
50750,505880,66,3
50760,505880,66,3
50730,529130,66,24
50750,529130,66,12
51530,506910,66,36
51550,506910,66,36
51540,506910,66,11
50830,,66,1
50850,,66,2
50860,,66,2
50870,,66,2
50880,,66,2
51395,,66,2
50475,500030,29,1
50485,500030,29,1
51055,500030,29,12
51660,500030,29,1
51675,500030,29,1
51965,500030,29,36
50550,,29,5
50155,528400,29,1
50475,528400,29,1
50485,528400,29,1
51660,528400,29,3
51675,528400,29,3
50140,528400,29,5
51390,528400,29,5
50140,,22,2
50155,,22,1
50475,,22,3
50485,,22,3
51390,,22,10
51635,,22,2
51660,,22,3
51675,,22,3
50140,502050,22,2
50155,502050,22,1
50165,502050,22,1
51390,502050,22,10
51635,502050,22,1
50475,,22,3
50485,,22,3
50550,,22,2
50600,,22,2
51660,,22,3
51675,,22,3
50140,523100,22,1
50155,523100,22,1
50485,523100,22,1
51390,523100,22,3
51675,523100,22,1
50550,534030,22,1
50600,534030,22,1
50155,,22,2
50165,,22,1
50475,,22,3
51390,,22,3
51635,,22,1
51660,,22,2
51675,,22,1
50730,506290,22,3
50740,506290,22,6
50485,526420,22,1
50730,526420,22,3
50740,526420,22,3
50750,526420,22,3
50760,526420,22,3
51115,526420,22,1
51695,526420,22,1
50670,514910,22,1
50680,514910,22,3
50690,514910,22,5
50610,,22,3
50620,,22,3
50630,,22,3
50660,,22,3
50730,,22,12
50740,,22,12
50750,,22,12
50760,,22,12
50335,501870,22,2
50345,501870,22,2
50730,501870,22,6
50740,501870,22,6
50750,501870,22,6
50760,501870,22,6
50730,,22,6
50740,,22,6
50760,,22,6
50145,501930,22,1
50165,501930,22,1
50730,501930,22,3
50740,501930,22,3
50750,501930,22,3
50760,501930,22,3
50730,506870,22,6
50740,506870,22,6
50750,506870,22,6
50760,506870,22,6
50730,,22,6
50740,,22,12
50750,,22,6
50860,,22,1
50880,,22,2
51415,,22,2
51425,,22,2
51435,,22,2
50730,,22,6
50740,,22,6
51005,,22,12
51040,,22,12
51055,,22,12
51660,,22,1
51675,,22,1
50475,520690,22,1
50730,520690,22,6
50740,520690,22,6
50750,520690,22,6
50760,520690,22,6
51675,520690,22,1
50550,501770,22,6
50600,501770,22,6
50365,,22,1
50375,,22,1
52250,,22,1
50730,,22,12
50740,,22,12
50740,507260,22,6
50750,507260,22,6
50105,,22,24
51005,,22,3
51015,,22,24
51040,,22,24
51050,,22,24
51660,,22,1
51675,,22,1
51390,502090,22,5
51620,502090,22,1
50730,,22,8
50740,,22,8
50750,,22,8
50455,,22,2
50740,,22,3
50750,,22,3
51005,,22,1
51010,,22,12
51015,,22,12
51040,,22,12
51045,,22,12
51050,,22,12
51055,,22,14
51530,,22,12
50475,525480,22,1
50730,525480,22,6
50760,525480,22,6
51660,525480,22,1
51675,525480,22,1
50730,544240,22,6
50750,544240,22,6
50760,544240,22,6
52065,544240,22,6
50740,,22,12
50750,,22,6
51005,,22,15
51025,,22,12
51035,,22,12
51040,,22,12
51045,,22,12
51050,,22,12
51530,,22,24
51540,,22,24
51550,,22,27
51675,,22,1
51005,,29,12
50140,,29,1
50155,,29,1
50355,,29,1
50455,,29,1
50525,,29,2
51030,,29,1
51965,,29,5
50730,514820,17,4
50740,514820,17,4
50750,514820,17,4
50140,547170,72,5
50740,,17,6
50750,,17,6
50730,517850,17,6
50740,517850,17,6
52065,517850,17,3
52075,517850,17,3
50355,518250,118,1
50435,518250,118,1
51965,518250,118,12
50560,501100,17,2
50600,501640,87,2
,501640,87,1
50670,501640,87,3
50680,501640,87,2
50690,501640,87,2
51995,501640,87,1
52015,501640,87,1
51005,,75,24
51010,,75,24
51015,,75,24
51025,,75,24
51040,,75,24
51055,,75,24
51005,511610,17,12
51015,511610,17,12
51020,511610,17,12
51040,511610,17,12
51045,511610,17,12
51055,511610,17,12
51620,,17,2
51620,501570,17,1
51635,501570,17,1
50550,500140,17,2
50600,500140,17,2
50550,513700,17,6
50600,513700,17,6
50730,513700,17,6
50740,513700,17,6
50750,513700,17,6
50760,513700,17,6
50730,,17,6
50740,,17,12
50750,,17,12
50760,,17,6
50550,524280,17,3
50435,537430,17,12
50455,537430,17,12
50475,537430,17,1
50485,537430,17,1
51660,537430,17,1
51675,537430,17,1
50560,524280,17,3
50600,524280,17,3
50730,524280,17,6
50740,524280,17,6
51660,524280,17,1
51675,524280,17,1
52075,524280,17,3
52335,524280,17,6
50730,517720,17,6
50740,517720,17,6
50145,511950,75,2
50155,511950,75,1
50165,511950,75,1
51115,511950,75,1
51140,511950,75,1
51635,511950,75,1
51660,511950,75,1
51675,511950,75,1
51685,511950,75,1
51695,511950,75,1
50550,512730,17,2
50600,512730,17,2
50630,512730,17,3
50680,512730,17,2
50690,512730,17,4
50740,512730,17,6
50365,,17,1
50385,,17,1
51415,,17,1
51435,,17,1
50730,,17,12
50740,,17,12
51695,527890,17,1
50475,,17,2
51660,,17,1
51675,,17,1
50475,500220,87,1
51005,500220,87,12
51040,500220,87,12
51045,500220,87,12
51130,500220,87,1
51140,500220,87,1
51675,500220,87,1
50730,544270,87,6
50740,544270,87,6
50475,534740,87,1
50550,534740,87,1
50600,534740,87,1
51660,534740,87,2
51675,534740,87,2
50550,539320,87,2
50600,539320,87,2
50730,539320,87,3
50740,539320,87,3
50760,539320,87,3
51105,,75,2
51130,,75,2
51635,,75,2
52345,,75,12
50740,520870,17,6
50760,520870,17,6
50135,,17,12
50550,,17,3
50600,,17,6
50730,,17,3
52345,,17,12
50165,509900,17,2
51695,509900,17,2
52345,509900,17,12
50600,509900,17,3
,509900,17,3
50730,509900,17,6
50740,509900,17,12
50600,546920,87,3
51660,546920,87,1
51675,546920,87,1
50140,549190,118,3
50750,549190,118,6
51105,549190,118,2
51715,549190,118,2
51045,,17,12
51415,,17,3
51635,,17,1
50600,513560,122,1
51965,,118,12
50600,505790,17,1
50730,532960,118,3
51660,532960,118,1
51675,532960,118,1
50090,,45,50
51425,,106,12
51435,,106,12
51685,,106,1
51635,506530,118,2
51010,504690,137,40
51015,504690,137,9
51020,504690,137,43
51025,504690,137,50
51040,504690,137,46
51045,504690,137,66
51055,504690,137,71
51540,504690,137,62
51550,504690,137,38
52535,504690,137,3
51005,504690,137,65
51530,504690,137,38
50730,,66,6
50740,,66,6
50730,515830,66,12
50740,515830,66,12
51055,,66,12
51965,,66,12
50730,,66,12
50740,,66,12
50760,528550,66,12
51685,528550,66,1
51965,528550,66,12
51635,537430,66,1
51685,537430,66,2
51735,537430,66,6
51175,501770,72,4
51190,501770,72,5
51205,501770,72,5
51220,501770,72,5
51235,501770,72,5
51115,544980,132,1
51415,544980,132,12
51425,544980,132,12
51435,544980,132,12
51685,544980,132,1
50600,,66,6
,,66,6
50730,,66,12
50740,,66,12
51635,,66,1
51735,,66,6
50600,,66,6
,,66,6
50680,,66,3
51635,,66,5
50475,504420,66,1
51635,504420,66,1
51675,504420,66,1
51735,504420,66,6
50730,,66,42
50740,,66,48
50155,,132,1
50730,501690,66,6
50740,501690,66,6
50750,501690,66,6
50760,501690,66,6
50730,,66,6
50740,,66,6
51530,,132,1
51540,,132,1
51550,,132,1
50475,512570,66,3
50485,512570,66,3
50730,512570,66,12
50740,512570,66,12
50455,509400,66,2
50730,509400,66,6
50740,509400,66,6
50750,509400,66,6
50760,509400,66,6
50140,527000,87,15
50155,527000,87,3
50165,527000,87,2
51620,527000,87,5
51675,527000,87,2
51635,,106,1
51010,,106,12
51015,,106,12
51025,,106,12
51045,,106,12
51050,,106,12
51055,,106,12
51635,,106,2
51390,513010,106,5
51635,513010,106,5
50730,501470,66,12
50740,501470,66,12
51735,501470,66,6
50550,534480,87,1
50600,534480,87,1
51005,534480,87,12
51045,534480,87,12
51055,534480,87,12
51965,534480,87,24
50090,,45,100
50730,518290,122,3
50740,518290,122,3
51635,518290,122,5
51660,518290,122,3
51675,518290,122,3
51010,,106,12
51015,,106,12
51025,,106,12
51040,,106,12
51045,,106,12
51055,,106,12
51530,,106,24
51540,,106,24
51550,,106,24
51635,502700,106,2
51675,502700,106,1
50730,528310,106,3
50750,528310,106,3
50680,512730,87,2
51635,,122,1
51005,,122,12
51010,,122,12
51015,,122,12
51020,,122,12
51025,,122,12
51040,,122,12
51635,511400,122,5
51675,511400,122,2
50090,,122,50
50090,515210,122,30
51005,,122,12
51010,,122,12
51015,,122,12
51020,,122,12
51040,,122,12
51055,,122,12
51005,505420,122,1
51025,505420,122,1
51040,505420,122,1
51045,505420,122,1
51055,505420,122,1
51005,,122,1
51010,,122,1
51015,,122,1
51045,,122,1
51055,,122,1
50090,,122,30
50145,,87,2
51115,,87,1
51695,,87,1
51725,,87,1
50830,505670,122,1
50880,505670,122,1
50730,505670,122,6
50740,505670,122,12
50750,505670,122,12
50760,505670,122,6
51390,505670,122,2
50155,,122,1
50165,,122,1
50730,,122,4
50740,,122,4
50750,,122,6
51660,,122,3
51675,,122,3
50740,537430,87,3
50750,537430,87,3
50730,547940,87,4
50740,547940,87,4
50750,547940,87,4
51030,547940,87,2
51660,547940,87,1
51675,547940,87,1
50860,512030,45,1
51115,512030,45,2
51140,512030,45,2
51425,512030,45,2
50435,506400,45,20
50445,506400,45,30
50455,506400,45,50
51390,,122,4
51660,,122,1
50600,514910,106,3
50660,514910,106,1
50680,514910,106,7
50690,514910,106,10
51995,514910,106,1
52325,514910,106,12
50355,512580,122,1
50360,512580,122,1
50740,512580,122,6
51635,512580,122,1
51045,546340,87,12
51055,546340,87,12
51530,546340,87,12
51540,546340,87,12
51550,546340,87,12
51675,546340,87,1
51005,502650,122,5
51045,502650,122,5
51055,502650,122,5
50140,514340,106,1
50155,514340,106,1
50740,514340,106,6
51390,514340,106,2
51635,,106,1
51010,,106,12
51015,,106,12
51020,,106,12
51025,,106,12
51045,,106,12
51055,,106,12
51530,,106,24
51540,,106,24
51550,,106,24
51635,,106,1
51005,,106,1
51010,,106,1
51015,,106,1
51040,,106,1
51055,,106,1
51530,,106,1
51540,,106,1
51550,,106,1
50155,516300,106,1
50165,516300,106,1
51390,516300,106,5
51620,516300,106,1
51635,516300,106,5
50485,532400,106,1
50730,532400,106,12
50740,532400,106,12
50760,532400,106,12
51675,532400,106,1
50600,,106,1
50455,507080,106,1
51005,507080,106,12
51015,507080,106,12
51025,507080,106,12
51040,507080,106,12
51045,507080,106,12
51055,507080,106,12
51530,507080,106,24
51540,507080,106,24
51550,507080,106,24
51530,535330,45,1
51540,535330,45,1
51550,535330,45,1
51040,534210,106,12
51005,534210,106,12
51055,534210,106,12
51540,534210,106,36
50140,521500,106,1
51390,521500,106,3
51620,521500,106,1
50090,527930,106,5
50730,522960,106,3
50740,522960,106,3
52055,522960,106,3
52065,522960,106,3
50600,515330,106,1
50550,,106,2
51635,,106,1
51660,,106,1
51675,,106,1
50730,,106,6
50740,,106,6
50750,,106,6
51635,,106,1
51685,,106,1
51695,,106,1
50550,506360,106,3
50600,506360,106,1
50730,,106,4
50740,,106,4
50750,,106,4
51005,,106,24
51010,,106,12
51040,,106,12
51055,,106,24
51965,,106,12
50600,520660,106,6
50730,520660,106,6
50740,520660,106,6
50750,520660,106,6
51010,,106,12
51015,,106,12
51025,,106,12
51040,,106,12
51045,,106,12
51055,,106,12
51540,,106,12
50550,527890,106,3
50600,527890,106,6
50630,527890,106,6
50680,527890,106,1
50690,527890,106,1
50750,527890,106,1
52015,527890,106,3
50700,514910,106,2
51995,514910,106,1
50560,529990,106,1
50600,529990,106,1
50610,529990,106,1
50660,529990,106,1
50670,529990,106,1
50680,529990,106,1
50690,529990,106,2
50740,529990,106,1
52015,529990,106,6
52055,529990,106,6
52065,529990,106,12
52085,529990,106,6
50670,531300,106,1
50680,531300,106,1
50690,531300,106,1
52085,531300,106,6
52055,,118,3
52085,,118,3
52345,,118,24
51660,,75,1
51675,,75,2
51010,,75,24
51015,,75,24
51055,,75,24
51965,,75,12
51005,,75,12
51010,,75,12
51015,,75,12
51035,,75,12
51045,,75,12
51055,,75,12
51530,,75,24
51540,,75,24
51550,,75,24
51635,,75,5
51390,511040,75,5
51635,511040,75,1
51675,511040,75,1
51005,525150,75,1
51025,525150,75,1
51040,525150,75,1
51045,525150,75,1
51055,525150,75,1
51390,,75,5
50730,507630,75,6
50740,507630,75,6
51425,507630,75,1
51635,507630,75,1
51005,,75,24
51010,,75,24
51025,,75,24
51040,,75,24
51045,,75,24
51055,,75,24
51540,,75,12
51550,,75,24
50570,502210,75,6
50690,502210,75,2
50730,502210,75,3
50740,502210,75,3
50750,502210,75,3
51685,502210,75,1
50600,,75,6
50680,,75,3
50690,,75,3
50730,,75,12
50740,,75,5
50860,,75,2
50880,,75,1
51395,,75,2
50730,,75,3
50740,,75,3
50750,,75,3
50760,,75,3
50730,,75,6
50740,,75,6
50750,,75,6
50790,,75,1
50810,,75,3
50165,536050,75,1
50730,536050,75,3
51635,536050,75,1
51685,536050,75,1
51715,536050,75,1
51965,536050,75,12
50600,,75,2
50730,,75,6
50740,,75,6
50750,,75,6
50435,,75,2
50455,,75,5
50730,,75,3
50740,,75,3
51005,,75,12
51020,,75,12
51025,,75,12
51040,,75,12
51045,,75,12
51055,,75,12
51390,520280,75,5
50730,535970,75,2
50740,535970,75,2
50750,535970,75,2
50465,500370,45,48
50730,545690,118,4
51635,545690,118,1
50335,,75,6
51965,,75,12
52540,,75,12
51015,509280,75,12
51055,509280,75,12
51635,509280,75,2
50155,,75,2
50455,,75,1
50730,,75,6
51635,,75,1
51965,,75,12
50730,506360,75,2
50740,506360,75,2
51005,506360,75,12
51015,506360,75,12
51045,506360,75,12
51055,506360,75,12
51415,506360,75,1
51685,506360,75,1
51715,506360,75,1
50435,543960,118,2
51005,543960,118,24
51045,543960,118,24
51055,543960,118,24
51530,543960,118,12
51540,543960,118,12
51550,543960,118,12
51105,,75,1
51115,,75,2
51635,,75,1
51685,,75,1
50365,515230,75,1
51415,515230,75,1
51425,515230,75,1
51435,515230,75,1
51635,515230,75,1
50365,,75,1
50730,,75,6
51425,,75,1
51635,,75,1
51755,,75,1
52345,,75,12
51140,,75,1
50730,,75,6
51415,,75,1
51435,,75,1
51635,,75,1
50730,,75,3
50750,,75,3
51435,,75,1
51675,,75,1
51685,,75,1
51715,,75,1
51635,545980,75,2
51685,545980,75,3
51695,545980,75,3
50730,522450,75,6
50750,522450,75,6
50730,,75,2
52055,,75,3
52085,,75,3
51020,538550,75,12
51040,538550,75,12
51045,538550,75,12
51635,538550,75,1
51660,538550,75,3
51675,538550,75,3
51015,525410,75,12
51020,525410,75,12
51025,525410,75,12
51035,525410,75,12
51045,525410,75,12
51055,525410,75,12
50155,,75,1
51675,,75,1
50090,,75,20
51435,,75,3
51415,,75,2
51435,,75,2
51390,517790,75,3
51635,517790,75,5
51660,517790,75,1
51675,517790,75,1
50385,511300,75,1
50600,511300,75,2
51415,511300,75,1
51435,511300,75,1
51745,511300,75,1
51765,511300,75,1
50600,,118,3
50145,546300,118,1
50750,546300,118,12
51435,546300,118,2
51765,546300,118,2
50600,513700,118,6
50090,541520,118,15
51015,,118,12
51020,,118,12
51040,,118,12
51530,,118,24
51540,,118,24
51550,,118,24
50750,,118,12
50740,,118,2
51660,,118,1
51675,,118,1
50455,,118,2
50475,,118,3
51685,,118,2
51695,,118,2
51725,,118,10
50145,533660,118,1
50165,533660,118,1
50740,533660,118,3
51105,533660,118,1
51115,533660,118,1
51130,533660,118,1
51635,533660,118,1
51660,533660,118,1
51675,533660,118,1
51685,533660,118,1
51695,533660,118,1
51635,519790,122,2
50730,531420,87,6
50740,531420,87,6
51695,,87,2
50475,,87,2
50485,,87,1
51660,,87,1
51675,,87,2
50485,520690,87,1
50730,520690,87,6
50740,520690,87,6
51005,520690,87,12
51045,520690,87,12
51055,520690,87,12
51415,520690,87,3
50475,500300,87,1
50485,500300,87,1
51005,500300,87,12
51055,500300,87,12
51635,500300,87,1
52420,500300,87,12
51055,513820,87,24
51965,513820,87,24
50355,518420,87,1
50360,518420,87,1
51635,518420,87,1
51735,518420,87,3
50365,523470,67,24
50375,523470,67,24
51415,523470,67,24
51425,523470,67,24
51435,523470,67,24
50355,,118,1
50360,,118,1
50165,540040,118,1
50355,540040,118,1
51005,540040,118,12
51055,540040,118,12
51685,540040,118,1
50090,,118,1
50155,,118,1
50165,,118,1
50750,,118,6
50140,,118,1
50355,,118,1
51620,,118,1
51675,,118,1
50140,504460,118,1
50155,504460,118,1
50165,504460,118,1
50355,504460,118,1
51005,538410,118,12
51040,538410,118,12
51045,538410,118,12
50570,,118,3
50600,,118,3
50750,,118,2
50760,,118,2
50455,503380,118,1
51115,503380,118,1
51130,503380,118,1
51140,503380,118,1
51675,503380,118,1
50365,520660,106,12
50385,520660,106,12
51415,520660,106,12
51435,520660,106,12
51685,520660,106,1
51695,520660,106,1
51725,520660,106,5
51755,520660,106,12
51765,520660,106,12
51635,,114,3
50730,,114,6
50740,,114,4
50760,,114,2
50140,,132,1
51660,,132,1
51675,,132,1
50090,,131,30
51005,,114,12
51055,,114,12
51425,,114,2
51660,,114,1
51675,,114,1
51425,,114,10
51390,,131,20
51660,533040,114,1
51675,533040,114,1
51965,533040,114,12
50365,506980,114,1
50375,506980,114,2
50385,506980,114,1
51425,506980,114,2
51435,506980,114,1
51660,506980,114,1
51675,506980,114,2
50550,,114,1
51115,,114,2
50145,509260,114,1
51115,509260,114,1
51635,509260,114,1
51675,509260,114,1
52055,509260,114,4
52065,509260,114,4
52075,509260,114,4
50750,521080,114,4
51695,521080,114,1
50475,527680,114,1
51675,527680,114,1
50740,512160,114,4
51675,512160,114,1
51005,500370,43,1
51010,500370,43,1
51015,500370,43,2
51025,500370,43,1
51045,500370,43,1
51055,500370,43,2
51040,500370,43,22
50090,503850,114,95
50090,525150,114,10
50140,504580,114,1
51415,549810,114,3
51635,505420,114,1
51635,,114,5
51660,,114,1
51675,,114,1
51415,,114,2
51435,,114,1
50365,,114,2
50385,,114,1
51415,,114,2
51435,,114,1
51635,,114,5
51635,532050,114,9
51390,516680,114,2
51635,516680,114,2
50140,525120,114,1
50155,525120,114,1
51635,525120,114,2
50140,,114,1
50155,,114,1
51390,,114,2
51635,,114,1
50155,513160,114,1
50165,513160,114,1
51390,513160,114,1
51660,513160,114,1
51675,513160,114,1
51020,509220,114,24
51040,509220,114,24
51055,509220,114,24
50145,545710,114,1
50155,545710,114,1
50165,545710,114,1
51140,545710,114,1
51660,545710,114,1
51685,545710,114,1
50600,513560,114,1
50090,516150,114,20
50090,526480,114,10
51005,,114,1
51010,,114,1
51040,,114,1
51045,,114,1
51055,,114,1
50570,529990,66,2
50600,529990,66,1
,529990,66,1
50610,529990,66,1
50630,529990,66,2
50660,529990,66,1
50670,529990,66,2
50680,529990,66,2
50690,529990,66,2
50730,529990,66,48
50740,529990,66,54
50750,529990,66,60
50760,529990,66,42
51995,529990,66,6
52005,529990,66,6
52065,529990,66,12
51660,,68,2
51675,,68,2
51660,,68,3
51675,,68,3
50140,522180,68,2
51660,522180,68,1
51675,522180,68,1
50140,,68,2
50365,,68,1
50385,,68,1
51415,,68,1
51435,,68,1
51660,,68,1
51675,,68,1
51695,,68,1
51965,,68,12
51020,,68,24
51040,,68,24
51055,,68,24
50435,,68,1
50740,,68,7
51055,,68,12
50140,509910,68,1
50365,509910,68,1
50455,509910,68,1
51415,509910,68,1
50090,527930,68,5
50600,514990,68,1
51005,,68,24
51015,,68,24
51055,,68,24
51635,,68,1
50365,,68,1
50375,,68,1
51425,,68,1
51675,,68,1
50600,,68,1
51635,,68,1
51660,,68,1
51675,,68,1
50730,541460,68,3
51725,541460,68,5
50365,501850,68,2
51660,501850,68,1
51675,501850,68,2
50335,500740,68,3
50345,500740,68,3
50365,500740,68,1
50375,500740,68,1
50385,500740,68,1
51005,500740,68,24
51045,500740,68,24
51055,500740,68,24
51415,500740,68,1
51425,500740,68,1
51435,500740,68,1
51660,500740,68,1
51675,500740,68,1
51745,500740,68,1
51755,500740,68,1
51765,500740,68,1
51140,503460,68,1
51415,503460,68,1
51435,503460,68,1
51695,503460,68,1
50560,,45,3
50680,,45,3
50690,,45,3
50700,,45,3
50560,524280,45,3
51660,524280,45,1
51675,524280,45,1
51635,510860,57,3
50750,500490,57,4
51105,500490,57,1
51115,500490,57,1
51130,500490,57,1
51140,500490,57,1
50165,504310,57,2
50750,504310,57,6
51660,504310,57,1
51675,504310,57,1
51685,504310,57,2
51715,504310,57,3
50140,546110,57,2
51390,546110,57,5
50140,543850,57,2
50155,543850,57,1
51390,543850,57,5
51635,543850,57,1
50560,501100,43,2
50090,521340,57,1
50130,521340,57,12
50135,521340,57,12
50435,521340,57,2
50455,521340,57,2
51390,521340,57,2
52345,521340,57,12
52355,521340,57,12
51390,502540,57,10
